10	4.706	80.000
11	4.190	88.000
12	4.571	4.571
13	4.522	5.200
14	4.308	4.308
15	4.138	4.138
16	4.000	42.667
17	4.121	12.364
18	4.000	4.645
19	4.343	19.000
20	4.211	5.161
21	4.098	24.000
22	4.757	4.513
23	4.182	14.154
24	4.174	4.174
25	4.167	4.167
26	4.426	4.837
27	4.000	4.235
28	4.000	4.000
29	4.000	11.048
30	4.000	8.000
31	4.000	4.593
32	4.339	4.339
33	4.000	26.400
34	4.459	4.610
35	4.000	4.000
36	4.000	4.174
37	4.000	4.111
38	4.000	4.000
39	4.000	3.900
40	4.000	4.211
41	4.049	4.260
42	4.000	4.603
43	4.095	4.047
44	4.000	4.571
45	4.000	4.557
46	4.000	4.089
47	4.043	3.917
48	4.000	3.959
49	4.000	4.083
50	4.000	3.922
51	4.000	4.000
52	4.000	3.888
53	4.000	4.000
54	4.000	4.320
55	4.000	4.000
56	4.000	3.862
57	4.000	4.000
58	4.000	4.035
59	4.000	3.837
60	4.000	4.000
61	4.000	4.000
62	4.000	4.000
63	4.000	3.877
64	4.063	3.969
65	4.000	4.000
66	4.000	3.854
67	4.000	4.123
68	4.000	3.701
69	4.000	3.781
70	4.000	3.862
71	4.000	3.838
72	4.000	4.000
73	4.000	3.893
74	4.000	3.747
75	4.000	3.750
76	4.000	4.000
77	4.000	3.850
78	4.000	3.876
79	4.000	4.000
80	4.025	4.025
81	4.000	3.724
82	4.000	4.000
83	4.000	4.000
84	4.000	4.000
85	4.000	4.000
86	4.000	4.000
87	4.000	3.932
88	4.000	3.955
89	4.000	3.787
90	4.000	4.000
91	4.000	3.753
92	4.000	4.000
93	4.000	3.937
94	4.000	4.000
95	4.000	4.000
96	4.000	4.000
97	4.000	3.785
98	4.000	4.000
99	4.000	3.863
100	4.000	4.000
101	4.000	4.000
102	4.000	4.000
103	4.000	3.797
104	4.000	3.888
105	4.000	3.836
106	4.000	3.855
107	4.000	3.788
108	4.000	4.000
109	4.000	3.825
110	4.000	4.000
111	4.000	4.000
112	4.000	4.000
113	4.000	4.000
114	4.000	4.000
